id,category,subcategory,food_name,local_name,aliases,serving_size,serving_unit,weight_g,calories_kcal,protein_g,carbohydrates_g,fat_g,dietary_fiber_g,total_sugars_g,saturated_fat_g,sodium_mg,cholesterol_mg,food_type,source,ingredients
17,Bakery,"Breads, Rolls & Flatbreads",Cinnamon Raisin Bagel,,"cinnamon raisin bagel, cinnamon raisin bagels, cinnamon-raisin-bagel, dalchini, kishmish",100,g,100,71,2.5,14.4,0.4,0.6,1.6,0.1,47,0,Meals / Prepared Food,curated,"Cinnamon, Raisins, Refined Flour (Maida), Yeast, Salt, Water"
18,Bakery,"Breads, Rolls & Flatbreads",Corn Dog,,"corn dog, bhutta, corn dogs, corn-dog, makka",100,g,100,195,6.7,21,9.4,0.8,5.9,2.7,500,34,Meals / Prepared Food,curated,"Corn, Refined Flour (Maida), Yeast, Salt, Water"
19,Bakery,"Breads, Rolls & Flatbreads",Corn Muffin,,"corn muffin, bhutta, corn muffins, corn-muffin, makka",100,g,100,201,3.9,33.7,5.5,2.2,11.7,0.9,300,17,Meals / Prepared Food,curated,"Corn, Refined Flour (Maida), Yeast, Salt, Water"
20,Bakery,"Breads, Rolls & Flatbreads",Corn Tortilla,,"corn tortilla, bhutta, corn tortillas, corn-tortilla, makka",100,g,100,52,1.4,10.7,0.7,1.5,0.2,0.1,75,0,Meals / Prepared Food,curated,"Corn, Refined Flour (Maida), Yeast, Salt, Water"
21,Bakery,"Breads, Rolls & Flatbreads",Cracked Wheat Bread,,"cracked wheat bread, cracked wheat breads, cracked-wheat-bread, gehun",100,g,100,74,2.5,14,1.1,1.6,0,0.3,200,0,Meals / Prepared Food,curated,"Bread, Wheat, Refined Flour (Maida), Yeast, Salt, Water"
22,Bakery,"Breads, Rolls & Flatbreads",Croutons,,"croutons, crouton, croutonses",100,g,100,33,1,5.9,0.5,0.4,0,0.1,35,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
23,Bakery,"Breads, Rolls & Flatbreads",Croutons Seasoned,,"croutons seasoned, croutons seasoneds, croutons-seasoned",100,g,100,186,4.3,25.4,7.3,2,1.8,2.1,400,3,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
24,Bakery,"Breads, Rolls & Flatbreads",Dinner Roll,,"dinner roll, dinner rolls, dinner-roll",100,g,100,76,2.4,12.9,1.8,1.1,0.5,0.4,100,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
25,Bakery,"Breads, Rolls & Flatbreads",Dinner Roll Whole Wheat,,"dinner roll whole wheat, dinner roll whole wheats, dinner-roll-whole-wheat, gehun",100,g,100,74,2.4,14.3,1.3,2.1,2.4,0.2,100,0,Meals / Prepared Food,curated,"Wheat, Refined Flour (Maida), Yeast, Salt, Water"
26,Bakery,"Breads, Rolls & Flatbreads",Egg Bagel,,"egg bagel, anda, egg bagels, egg-bagel",100,g,100,72,2.8,13.8,0.5,0.6,0,0.1,100,6,Meals / Prepared Food,curated,"Egg, Refined Flour (Maida), Yeast, Salt, Water"
27,Bakery,"Breads, Rolls & Flatbreads",Egg Bread,,"egg bread, anda, egg breads, egg-bread",100,g,100,115,3.8,19.1,2.4,0.9,0.7,0.6,200,20,Meals / Prepared Food,curated,"Egg, Bread, Refined Flour (Maida), Yeast, Salt, Water"
28,Bakery,"Breads, Rolls & Flatbreads",Egg Bread Toasted,,"egg bread toasted, anda, egg-bread-toasted",100,g,100,117,3.9,19.5,2.4,0.9,0.7,0.6,200,21,Meals / Prepared Food,curated,"Egg, Bread, Refined Flour (Maida), Yeast, Salt, Water"
29,Bakery,"Breads, Rolls & Flatbreads",Egg Dinner Roll,,"egg dinner roll, anda, egg dinner rolls, egg-dinner-roll",100,g,100,107,3.3,18.2,2.2,1.3,1.5,0.6,200,18,Meals / Prepared Food,curated,"Egg, Refined Flour (Maida), Yeast, Salt, Water"
30,Bakery,"Breads, Rolls & Flatbreads",English Muffin,,"english muffin, english muffins, english-muffin",100,g,100,127,5,25.5,1.1,2.6,0.9,0.2,200,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
31,Bakery,"Breads, Rolls & Flatbreads",English Muffin Mcdonalds,,"english muffin mcdonalds, english muffin mcdonald, english muffin mcdonaldses, english-muffin-mcdonalds",100,g,100,97,5.7,2.9,2.3,0.2,1.5,1.1,31,21,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
32,Bakery,"Breads, Rolls & Flatbreads",English Muffin Toasted,,"english muffin toasted, english-muffin-toasted",100,g,100,140,5.4,27.4,1.1,1.5,1.8,0.3,200,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
33,Bakery,"Breads, Rolls & Flatbreads",English Muffin Whole Wheat,,"english muffin whole wheat, english muffin whole wheats, english-muffin-whole-wheat, gehun",100,g,100,134,5.8,26.7,1.4,4.4,5.3,0.2,200,0,Meals / Prepared Food,curated,"Wheat, Refined Flour (Maida), Yeast, Salt, Water"
34,Bakery,"Breads, Rolls & Flatbreads",English Muffin Whole Wheat Toasted,,"english muffin whole wheat toasted, english-muffin-whole-wheat-toasted, gehun",100,g,100,135,5.9,26.9,1.4,4.5,5.4,0.2,200,0,Meals / Prepared Food,curated,"Wheat, Refined Flour (Maida), Yeast, Salt, Water"
35,Bakery,"Breads, Rolls & Flatbreads",English Muffin with Butter,,"english muffin with butter, english muffin with butters, english-muffin-with-butter, makhan",100,g,100,189,4.9,30.4,5.8,0,0,2.4,400,13,Meals / Prepared Food,curated,"Butter, Refined Flour (Maida), Yeast, Salt, Water"
36,Bakery,"Breads, Rolls & Flatbreads",English Muffin with Cheese Sausage,,"english muffin with cheese sausage, english muffin with cheese sausages, english-muffin-with-cheese-sausage",100,g,100,365,14.3,27.3,22.3,0.5,2.1,8.8,700,46,Meals / Prepared Food,curated,"Pork, Cheese, Refined Flour (Maida), Yeast, Salt, Water"
37,Bakery,"Breads, Rolls & Flatbreads",English Muffin with Egg Cheese Sausage,,"english muffin with egg cheese sausage, anda, english muffin with egg cheese sausages, english-muffin-with-egg-cheese-sausage",100,g,100,472,22.1,28.8,29.9,0.3,2.5,11.4,800,269,Meals / Prepared Food,curated,"Pork, Egg, Cheese, Refined Flour (Maida), Yeast, Salt, Water"
38,Bakery,"Breads, Rolls & Flatbreads",Filinchen Gutena,,"filinchen gutena, filinchen gutenas, filinchen-gutena",100,g,100,19,0.4,0.5,0.2,0,0,0.1,0,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
39,Bakery,"Breads, Rolls & Flatbreads",Flour Tortilla,,"flour tortilla, flour tortillas, flour-tortilla",100,g,100,146,3.9,24.1,3.7,1.2,1.3,0.6,400,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
40,Bakery,"Breads, Rolls & Flatbreads",French Roll,,"french roll, french rolls, french-roll",100,g,100,105,3.3,19.1,1.6,1.2,0.1,0.4,200,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
41,Bakery,"Breads, Rolls & Flatbreads",French Toast Sticks,,"french toast sticks, french toast stick, french toast stickses, french-toast-sticks",100,g,100,73,1.3,8.9,3.8,0.3,2.1,0.9,1,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
42,Bakery,"Breads, Rolls & Flatbreads",French Toast Sticks Burger King,,"french toast sticks burger king, french toast sticks burger kings, french-toast-sticks-burger-king",100,g,100,73,1.3,8.7,3.7,0.3,2.1,0.8,14,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
43,Bakery,"Breads, Rolls & Flatbreads",French Toast with Butter,,"french toast with butter, french toast with butters, french-toast-with-butter, makhan",100,g,100,178,5.2,18,9.4,0,0,3.9,300,58,Meals / Prepared Food,curated,"Butter, Refined Flour (Maida), Yeast, Salt, Water"
44,Bakery,"Breads, Rolls & Flatbreads",Frybread,,"frybread, frybreads",100,g,100,502,10.2,73.4,18.6,0,3.1,7,500,11,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
45,Bakery,"Breads, Rolls & Flatbreads",Garlic Bread,,"garlic bread, garlic breads, garlic-bread, lasan, lehsun",100,g,100,151,3.6,17.9,7.1,1.1,1.6,2.3,200,0,Meals / Prepared Food,curated,"Bread, Garlic, Refined Flour (Maida), Yeast, Salt, Water"
46,Bakery,"Breads, Rolls & Flatbreads",Ham Cheese Roll,,"ham cheese roll, ham cheese rolls, ham-cheese-roll",100,g,100,67,3.8,1.1,5.2,0,0,2,300,16,Meals / Prepared Food,curated,"Pork, Cheese, Ham, Refined Flour (Maida), Yeast, Salt, Water"
47,Bakery,"Breads, Rolls & Flatbreads",High Protein Bread Dr Zaks,,"high protein bread dr zaks, high protein bread dr zak, high protein bread dr zakses, high-protein-bread-dr-zaks",100,g,100,152,0,15.3,3,0,0.6,0.5,0,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
48,Bakery,"Breads, Rolls & Flatbreads",Hotcakes Mcdonalds,,"hotcakes mcdonalds, hotcakes mcdonald, hotcakes mcdonaldses, hotcakes-mcdonalds",100,g,100,113,3,19,2.9,0.7,4.4,0.6,200,6,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
49,Bakery,"Breads, Rolls & Flatbreads",Hotdog Roll,,"hotdog roll, hotdog rolls, hotdog-roll",100,g,100,117,4.1,21.1,1.6,0.8,3.1,0.4,200,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
50,Bakery,"Breads, Rolls & Flatbreads",Hushpuppies,,"hushpuppies, hushpuppieses, hushpuppy",100,g,100,512,11.7,69.9,20.5,4.3,3.1,3.2,1000,68,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
51,Bakery,"Breads, Rolls & Flatbreads",Muffin,,"muffin, muffins",100,g,100,169,3.9,23.6,6.5,1.5,0,1.2,300,22,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
52,Bakery,"Breads, Rolls & Flatbreads",Nacho Cheese Tortilla Chips,,"nacho cheese tortilla chips, nacho cheese tortilla chip, nacho cheese tortilla chipses, nacho-cheese-tortilla-chips",100,g,100,156,2.2,18.2,8.2,1.5,0.8,1.2,200,0,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Yeast, Salt, Water"
53,Bakery,"Breads, Rolls & Flatbreads",Nacho Cheese Tortilla Chips Low Fat,,"nacho cheese tortilla chips low fat, nacho cheese tortilla chips low fats, nacho-cheese-tortilla-chips-low-fat",100,g,100,90,2.4,18.5,1,1.8,0.8,0.3,200,1,Meals / Prepared Food,curated,"Cheese, Refined Flour (Maida), Yeast, Salt, Water"
54,Bakery,"Breads, Rolls & Flatbreads",Oat Bran Bagel,,"oat bran bagel, jai, oat bran bagels, oat-bran-bagel",100,g,100,176,7.4,36.8,0.8,2.5,1.1,0.1,400,0,Meals / Prepared Food,curated,"Oat Bran, Refined Flour (Maida), Yeast, Salt, Water"
55,Bakery,"Breads, Rolls & Flatbreads",Oat Bran Bread,,"oat bran bread, jai, oat bran breads, oat-bran-bread",100,g,100,71,3.1,11.9,1.3,1.4,2.3,0.2,100,0,Meals / Prepared Food,curated,"Bread, Oat Bran, Refined Flour (Maida), Yeast, Salt, Water"
56,Bakery,"Breads, Rolls & Flatbreads",Oat Bran Bread Toasted,,"oat bran bread toasted, jai, oat-bran-bread-toasted",100,g,100,70,3.1,11.8,1.3,1.3,2.3,0.2,100,0,Meals / Prepared Food,curated,"Bread, Oat Bran, Refined Flour (Maida), Yeast, Salt, Water"
57,Bakery,"Breads, Rolls & Flatbreads",Oat Bran Dinner Roll,,"oat bran dinner roll, jai, oat bran dinner rolls, oat-bran-dinner-roll",100,g,100,78,3.1,13.3,1.5,1.4,2.2,0.2,100,0,Meals / Prepared Food,curated,"Oat Bran, Refined Flour (Maida), Yeast, Salt, Water"
58,Bakery,"Breads, Rolls & Flatbreads",Oat Bran Muffin,,"oat bran muffin, jai, oat bran muffins, oat-bran-muffin",100,g,100,46,1.2,8.2,1.3,0.8,1.4,0.2,67,0,Meals / Prepared Food,curated,"Oat Bran, Refined Flour (Maida), Yeast, Salt, Water"
59,Bakery,"Breads, Rolls & Flatbreads",Oatmeal Bread,,"oatmeal bread, jai, oatmeal breads, oatmeal-bread",100,g,100,73,2.3,13.1,1.2,1.1,2.2,0.2,100,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
60,Bakery,"Breads, Rolls & Flatbreads",Oatmeal Bread Toasted,,"oatmeal bread toasted, jai, oatmeal-bread-toasted",100,g,100,73,2.3,13.2,1.2,1.1,2.2,0.2,100,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
61,Bakery,"Breads, Rolls & Flatbreads",Pan Dulce Bread,,"pan dulce bread, pan dulce breads, pan-dulce-bread",100,g,100,231,5.9,35.5,7.3,1.4,7.9,1.4,100,19,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
62,Bakery,"Breads, Rolls & Flatbreads",Pancakes,,"pancakes, pancak, pancakeses",100,g,100,86,2.4,10.8,3.7,0,0,0.8,200,22,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
63,Bakery,"Breads, Rolls & Flatbreads",Pancakes Whole Wheat,,"pancakes whole wheat, gehun, pancakes whole wheats, pancakes-whole-wheat",100,g,100,92,3.7,12.9,2.9,1.2,0,0.8,300,27,Meals / Prepared Food,curated,"Wheat, Refined Flour (Maida), Yeast, Salt, Water"
64,Bakery,"Breads, Rolls & Flatbreads",Pancakes with Butter Syrup,,"pancakes with butter syrup, makhan, pancakes with butter syrups, pancakes-with-butter-syrup",100,g,100,260,4.1,45.4,7,0,0,2.9,600,29,Meals / Prepared Food,curated,"Butter, Refined Flour (Maida), Yeast, Salt, Water"
65,Bakery,"Breads, Rolls & Flatbreads",Piki Bread,,"piki bread, piki breads, piki-bread",100,g,100,109,2.5,20.2,2,2.6,0.4,0.2,28,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
66,Bakery,"Breads, Rolls & Flatbreads",Pita Bread,,"pita bread, pita breads, pita-bread",100,g,100,165,5.5,33.4,0.7,1.3,0.8,0.1,300,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
67,Bakery,"Breads, Rolls & Flatbreads",Pita Bread Whole Wheat,,"pita bread whole wheat, gehun, pita bread whole wheats, pita-bread-whole-wheat",100,g,100,74,2.7,15.4,0.7,2.1,0.2,0.1,100,0,Meals / Prepared Food,curated,"Bread, Wheat, Refined Flour (Maida), Yeast, Salt, Water"
68,Bakery,"Breads, Rolls & Flatbreads",Pita Chips,,"pita chips, pita chip, pita chipses, pita-chips",100,g,100,137,3.5,20.5,4.6,1.1,1.4,0.4,300,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
69,Bakery,"Breads, Rolls & Flatbreads",Pork Blade Roll Raw,,"pork blade roll raw, pork-blade-roll-raw",100,g,100,76,4.7,0,6.2,0,0,2.2,400,15,Meals / Prepared Food,curated,"Pork, Refined Flour (Maida), Yeast, Salt, Water"
70,Bakery,"Breads, Rolls & Flatbreads",Pork Egg Roll,,"pork egg roll, anda, pork egg rolls, pork-egg-roll",100,g,100,189,8.4,25.1,6.1,1.8,4.5,1.3,300,12,Meals / Prepared Food,curated,"Pork, Egg, Refined Flour (Maida), Yeast, Salt, Water"
71,Bakery,"Breads, Rolls & Flatbreads",Potato Bread,,"potato bread, aloo, potato breads, potato-bread",100,g,100,85,4,15.1,1,2,3,0,100,0,Meals / Prepared Food,curated,"Potato, Bread, Refined Flour (Maida), Yeast, Salt, Water"
72,Bakery,"Breads, Rolls & Flatbreads",Potato Pancake,,"potato pancake, aloo, potato pancakes, potato-pancake",100,g,100,59,1.3,6.1,3.2,0.7,0.4,0.5,200,21,Meals / Prepared Food,curated,"Potato, Refined Flour (Maida), Yeast, Salt, Water"
73,Bakery,"Breads, Rolls & Flatbreads",Pretzels,,"pretzels, pretzel, pretzelses",100,g,100,115,3,24.1,0.9,1,0.7,0.1,400,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
74,Bakery,"Breads, Rolls & Flatbreads",Protein Bread,,"protein bread, protein breads, protein-bread",100,g,100,47,2.3,8.3,0.4,0.6,0.3,0,8,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
75,Bakery,"Breads, Rolls & Flatbreads",Protein Bread Toasted,,"protein bread toasted, protein-bread-toasted",100,g,100,46,2.2,8.2,0.4,0.6,0.2,0.1,49,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
76,Bakery,"Breads, Rolls & Flatbreads",Pumpernickel Bread,,"pumpernickel bread, pumpernickel breads, pumpernickel-bread",100,g,100,65,2.3,12.4,0.8,1.7,0.1,0.1,200,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
77,Bakery,"Breads, Rolls & Flatbreads",Pumpernickel Bread Toasted,,"pumpernickel bread toasted, pumpernickel-bread-toasted",100,g,100,80,2.8,15.1,1,2.1,0.2,0.1,200,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
78,Bakery,"Breads, Rolls & Flatbreads",Pumpernickel Roll,,"pumpernickel roll, pumpernickel rolls, pumpernickel-roll",100,g,100,77,3,14.8,0.8,1.5,0.1,0.1,100,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
79,Bakery,"Breads, Rolls & Flatbreads",Raisin Bread,,"raisin bread, kishmish, raisin breads, raisin-bread",100,g,100,88,2.5,16.7,1.4,1.4,1.8,0.3,100,0,Meals / Prepared Food,curated,"Bread, Raisins, Refined Flour (Maida), Yeast, Salt, Water"
80,Bakery,"Breads, Rolls & Flatbreads",Raisin Bread Toasted,,"raisin bread toasted, kishmish, raisin-bread-toasted",100,g,100,86,2.5,16.5,1.4,1.4,1.8,0.3,100,0,Meals / Prepared Food,curated,"Bread, Raisins, Refined Flour (Maida), Yeast, Salt, Water"
81,Bakery,"Breads, Rolls & Flatbreads",Rice Bran Bread,,"rice bran bread, chawal, rice bran breads, rice-bran-bread",100,g,100,66,2.4,11.7,1.2,1.3,1.3,0.2,81,0,Meals / Prepared Food,curated,"Rice, Bread, Rice Bran, Refined Flour (Maida), Yeast, Salt, Water"
82,Bakery,"Breads, Rolls & Flatbreads",Rice Bran Bread Toasted,,"rice bran bread toasted, chawal, rice-bran-bread-toasted",100,g,100,66,2.4,11.8,1.3,1.3,1.3,0.2,26,0,Meals / Prepared Food,curated,"Rice, Bread, Rice Bran, Refined Flour (Maida), Yeast, Salt, Water"
83,Bakery,"Breads, Rolls & Flatbreads",Roggenmischbrot Sonnenblumenkerne Aldi,,"roggenmischbrot sonnenblumenkerne aldi, roggenmischbrot sonnenblumenkerne aldis, roggenmischbrot-sonnenblumenkerne-aldi",100,g,100,82,0,0,3.1,0,0,9.9,0,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
84,Bakery,"Breads, Rolls & Flatbreads",Rye Bread,,"rye bread, rye breads, rye-bread",100,g,100,83,2.7,15.5,1.1,1.9,1.2,0.2,200,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
85,Bakery,"Breads, Rolls & Flatbreads",Rye Bread Toasted,,"rye bread toasted, rye-bread-toasted",100,g,100,82,2.7,15.4,1,1.9,1.2,0.2,200,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
86,Bakery,"Breads, Rolls & Flatbreads",Rye Dinner Roll,,"rye dinner roll, rye dinner rolls, rye-dinner-roll",100,g,100,123,4.4,22.8,1.5,2.1,0.5,0.3,300,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
87,Bakery,"Breads, Rolls & Flatbreads",Soft Pretzels,,"soft pretzels, soft pretzel, soft pretzelses, soft-pretzels",100,g,100,389,9.4,79.8,3.6,2,0.3,0.8,900,4,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
88,Bakery,"Breads, Rolls & Flatbreads",Tortilla,,"tortilla, tortillas",100,g,100,467,14.3,98.4,1.9,4.7,5.4,0.6,900,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
89,Bakery,"Breads, Rolls & Flatbreads",Tortilla Chips,,"tortilla chips, tortilla chip, tortilla chipses, tortilla-chips",100,g,100,142,2.1,20.3,6.2,1.6,0.2,0.8,77,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
90,Bakery,"Breads, Rolls & Flatbreads",Tortilla Chips Low Fat,,"tortilla chips low fat, tortilla chips low fats, tortilla-chips-low-fat",100,g,100,117,3.1,22.6,1.6,1.5,0.2,0.2,100,0,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
91,Bakery,"Breads, Rolls & Flatbreads",Turkey Roll,,"turkey roll, turkey rolls, turkey-roll",100,g,100,40,4.9,0.6,1.9,0,0,0.6,100,15,Meals / Prepared Food,curated,"Turkey, Refined Flour (Maida), Yeast, Salt, Water"
92,Bakery,"Breads, Rolls & Flatbreads",Vegetable Egg Roll,,"vegetable egg roll, anda, vegetable egg rolls, vegetable-egg-roll",100,g,100,153,5.2,25,3.6,2.2,5.3,0.6,400,0,Meals / Prepared Food,curated,"Egg, Refined Flour (Maida), Yeast, Salt, Water"
93,Bakery,"Breads, Rolls & Flatbreads",Vienna Bread,,"vienna bread, vienna breads, vienna-bread",100,g,100,92,3.8,18.1,0.6,0.8,0.8,0.2,200,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
94,Bakery,"Breads, Rolls & Flatbreads",Vienna Bread Toasted,,"vienna bread toasted, vienna-bread-toasted",100,g,100,93,3.8,18,0.6,0.9,1,0.1,200,0,Meals / Prepared Food,curated,"Bread, Refined Flour (Maida), Yeast, Salt, Water"
95,Bakery,"Breads, Rolls & Flatbreads",Waffle,,"waffle, waffles",100,g,100,218,5.9,24.7,10.6,0,0,2.1,400,52,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
96,Bakery,"Breads, Rolls & Flatbreads",Waffle Toasted,,"waffle toasted, waffle-toasted",100,g,100,103,2.4,16.3,3.2,0.8,1.7,0.5,200,5,Meals / Prepared Food,curated,"Refined Flour (Maida), Yeast, Salt, Water"
